gridId,geometry
1,"POLYGON ((-87.9444 41.6387, -87.9255 41.6387, -87.9255 41.6242, -87.9444 41.6242, -87.9444 41.6387))"
2,"POLYGON ((-87.9255 41.6387, -87.9067 41.6387, -87.9067 41.6242, -87.9255 41.6242, -87.9255 41.6387))"
3,"POLYGON ((-87.9067 41.6387, -87.8878 41.6387, -87.8878 41.6242, -87.9067 41.6242, -87.9067 41.6387))"
4,"POLYGON ((-87.8878 41.6387, -87.8689 41.6387, -87.8689 41.6242, -87.8878 41.6242, -87.8878 41.6387))"
5,"POLYGON ((-87.8689 41.6387, -87.84999999999999 41.6387, -87.84999999999999 41.6242, -87.8689 41.6242, -87.8689 41.6387))"
6,"POLYGON ((-87.84999999999999 41.6387, -87.8312 41.6387, -87.8312 41.6242, -87.84999999999999 41.6242, -87.84999999999999 41.6387))"
7,"POLYGON ((-87.8312 41.6387, -87.81229999999999 41.6387, -87.81229999999999 41.6242, -87.8312 41.6242, -87.8312 41.6387))"
8,"POLYGON ((-87.81229999999999 41.6387, -87.79340000000001 41.6387, -87.79340000000001 41.6242, -87.81229999999999 41.6242, -87.81229999999999 41.6387))"
9,"POLYGON ((-87.79340000000001 41.6387, -87.77460000000001 41.6387, -87.77460000000001 41.6242, -87.79340000000001 41.6242, -87.79340000000001 41.6387))"
10,"POLYGON ((-87.77460000000001 41.6387, -87.7557 41.6387, -87.7557 41.6242, -87.77460000000001 41.6242, -87.77460000000001 41.6387))"
11,"POLYGON ((-87.7557 41.6387, -87.7368 41.6387, -87.7368 41.6242, -87.7557 41.6242, -87.7557 41.6387))"
12,"POLYGON ((-87.7368 41.6387, -87.718 41.6387, -87.718 41.6242, -87.7368 41.6242, -87.7368 41.6387))"
13,"POLYGON ((-87.718 41.6387, -87.6991 41.6387, -87.6991 41.6242, -87.718 41.6242, -87.718 41.6387))"
14,"POLYGON ((-87.6991 41.6387, -87.6802 41.6387, -87.6802 41.6242, -87.6991 41.6242, -87.6991 41.6387))"
15,"POLYGON ((-87.6802 41.6387, -87.6614 41.6387, -87.6614 41.6242, -87.6802 41.6242, -87.6802 41.6387))"
16,"POLYGON ((-87.6614 41.6387, -87.6425 41.6387, -87.6425 41.6242, -87.6614 41.6242, -87.6614 41.6387))"
17,"POLYGON ((-87.6425 41.6387, -87.6236 41.6387, -87.6236 41.6242, -87.6425 41.6242, -87.6425 41.6387))"
18,"POLYGON ((-87.6236 41.6387, -87.6048 41.6387, -87.6048 41.6242, -87.6236 41.6242, -87.6236 41.6387))"
19,"POLYGON ((-87.6048 41.6387, -87.5859 41.6387, -87.5859 41.6242, -87.6048 41.6242, -87.6048 41.6387))"
20,"POLYGON ((-87.5859 41.6387, -87.56699999999999 41.6387, -87.56699999999999 41.6242, -87.5859 41.6242, -87.5859 41.6387))"
21,"POLYGON ((-87.56699999999999 41.6387, -87.54819999999999 41.6387, -87.54819999999999 41.6242, -87.56699999999999 41.6242, -87.56699999999999 41.6387))"
22,"POLYGON ((-87.54819999999999 41.6387, -87.52930000000001 41.6387, -87.52930000000001 41.6242, -87.54819999999999 41.6242, -87.54819999999999 41.6387))"
23,"POLYGON ((-87.52930000000001 41.6387, -87.5104 41.6387, -87.5104 41.6242, -87.52930000000001 41.6242, -87.52930000000001 41.6387))"
24,"POLYGON ((-87.5104 41.6387, -87.49160000000001 41.6387, -87.49160000000001 41.6242, -87.5104 41.6242, -87.5104 41.6387))"
25,"POLYGON ((-87.49160000000001 41.6387, -87.4727 41.6387, -87.4727 41.6242, -87.49160000000001 41.6242, -87.49160000000001 41.6387))"
26,"POLYGON ((-87.9444 41.6532, -87.9255 41.6532, -87.9255 41.6387, -87.9444 41.6387, -87.9444 41.6532))"
27,"POLYGON ((-87.9255 41.6532, -87.9067 41.6532, -87.9067 41.6387, -87.9255 41.6387, -87.9255 41.6532))"
28,"POLYGON ((-87.9067 41.6532, -87.8878 41.6532, -87.8878 41.6387, -87.9067 41.6387, -87.9067 41.6532))"
29,"POLYGON ((-87.8878 41.6532, -87.8689 41.6532, -87.8689 41.6387, -87.8878 41.6387, -87.8878 41.6532))"
30,"POLYGON ((-87.8689 41.6532, -87.84999999999999 41.6532, -87.84999999999999 41.6387, -87.8689 41.6387, -87.8689 41.6532))"
31,"POLYGON ((-87.84999999999999 41.6532, -87.8312 41.6532, -87.8312 41.6387, -87.84999999999999 41.6387, -87.84999999999999 41.6532))"
32,"POLYGON ((-87.8312 41.6532, -87.81229999999999 41.6532, -87.81229999999999 41.6387, -87.8312 41.6387, -87.8312 41.6532))"
33,"POLYGON ((-87.81229999999999 41.6532, -87.79340000000001 41.6532, -87.79340000000001 41.6387, -87.81229999999999 41.6387, -87.81229999999999 41.6532))"
34,"POLYGON ((-87.79340000000001 41.6532, -87.77460000000001 41.6532, -87.77460000000001 41.6387, -87.79340000000001 41.6387, -87.79340000000001 41.6532))"
35,"POLYGON ((-87.77460000000001 41.6532, -87.7557 41.6532, -87.7557 41.6387, -87.77460000000001 41.6387, -87.77460000000001 41.6532))"
36,"POLYGON ((-87.7557 41.6532, -87.7368 41.6532, -87.7368 41.6387, -87.7557 41.6387, -87.7557 41.6532))"
37,"POLYGON ((-87.7368 41.6532, -87.718 41.6532, -87.718 41.6387, -87.7368 41.6387, -87.7368 41.6532))"
38,"POLYGON ((-87.718 41.6532, -87.6991 41.6532, -87.6991 41.6387, -87.718 41.6387, -87.718 41.6532))"
39,"POLYGON ((-87.6991 41.6532, -87.6802 41.6532, -87.6802 41.6387, -87.6991 41.6387, -87.6991 41.6532))"
40,"POLYGON ((-87.6802 41.6532, -87.6614 41.6532, -87.6614 41.6387, -87.6802 41.6387, -87.6802 41.6532))"
41,"POLYGON ((-87.6614 41.6532, -87.6425 41.6532, -87.6425 41.6387, -87.6614 41.6387, -87.6614 41.6532))"
42,"POLYGON ((-87.6425 41.6532, -87.6236 41.6532, -87.6236 41.6387, -87.6425 41.6387, -87.6425 41.6532))"
43,"POLYGON ((-87.6236 41.6532, -87.6048 41.6532, -87.6048 41.6387, -87.6236 41.6387, -87.6236 41.6532))"
44,"POLYGON ((-87.6048 41.6532, -87.5859 41.6532, -87.5859 41.6387, -87.6048 41.6387, -87.6048 41.6532))"
45,"POLYGON ((-87.5859 41.6532, -87.56699999999999 41.6532, -87.56699999999999 41.6387, -87.5859 41.6387, -87.5859 41.6532))"
46,"POLYGON ((-87.56699999999999 41.6532, -87.54819999999999 41.6532, -87.54819999999999 41.6387, -87.56699999999999 41.6387, -87.56699999999999 41.6532))"
47,"POLYGON ((-87.54819999999999 41.6532, -87.52930000000001 41.6532, -87.52930000000001 41.6387, -87.54819999999999 41.6387, -87.54819999999999 41.6532))"
48,"POLYGON ((-87.52930000000001 41.6532, -87.5104 41.6532, -87.5104 41.6387, -87.52930000000001 41.6387, -87.52930000000001 41.6532))"
49,"POLYGON ((-87.5104 41.6532, -87.49160000000001 41.6532, -87.49160000000001 41.6387, -87.5104 41.6387, -87.5104 41.6532))"
50,"POLYGON ((-87.49160000000001 41.6532, -87.4727 41.6532, -87.4727 41.6387, -87.49160000000001 41.6387, -87.49160000000001 41.6532))"
51,"POLYGON ((-87.9444 41.6677, -87.9255 41.6677, -87.9255 41.6532, -87.9444 41.6532, -87.9444 41.6677))"
52,"POLYGON ((-87.9255 41.6677, -87.9067 41.6677, -87.9067 41.6532, -87.9255 41.6532, -87.9255 41.6677))"
53,"POLYGON ((-87.9067 41.6677, -87.8878 41.6677, -87.8878 41.6532, -87.9067 41.6532, -87.9067 41.6677))"
54,"POLYGON ((-87.8878 41.6677, -87.8689 41.6677, -87.8689 41.6532, -87.8878 41.6532, -87.8878 41.6677))"
55,"POLYGON ((-87.8689 41.6677, -87.84999999999999 41.6677, -87.84999999999999 41.6532, -87.8689 41.6532, -87.8689 41.6677))"
56,"POLYGON ((-87.84999999999999 41.6677, -87.8312 41.6677, -87.8312 41.6532, -87.84999999999999 41.6532, -87.84999999999999 41.6677))"
57,"POLYGON ((-87.8312 41.6677, -87.81229999999999 41.6677, -87.81229999999999 41.6532, -87.8312 41.6532, -87.8312 41.6677))"
58,"POLYGON ((-87.81229999999999 41.6677, -87.79340000000001 41.6677, -87.79340000000001 41.6532, -87.81229999999999 41.6532, -87.81229999999999 41.6677))"
59,"POLYGON ((-87.79340000000001 41.6677, -87.77460000000001 41.6677, -87.77460000000001 41.6532, -87.79340000000001 41.6532, -87.79340000000001 41.6677))"
60,"POLYGON ((-87.77460000000001 41.6677, -87.7557 41.6677, -87.7557 41.6532, -87.77460000000001 41.6532, -87.77460000000001 41.6677))"
61,"POLYGON ((-87.7557 41.6677, -87.7368 41.6677, -87.7368 41.6532, -87.7557 41.6532, -87.7557 41.6677))"
62,"POLYGON ((-87.7368 41.6677, -87.718 41.6677, -87.718 41.6532, -87.7368 41.6532, -87.7368 41.6677))"
63,"POLYGON ((-87.718 41.6677, -87.6991 41.6677, -87.6991 41.6532, -87.718 41.6532, -87.718 41.6677))"
64,"POLYGON ((-87.6991 41.6677, -87.6802 41.6677, -87.6802 41.6532, -87.6991 41.6532, -87.6991 41.6677))"
65,"POLYGON ((-87.6802 41.6677, -87.6614 41.6677, -87.6614 41.6532, -87.6802 41.6532, -87.6802 41.6677))"
66,"POLYGON ((-87.6614 41.6677, -87.6425 41.6677, -87.6425 41.6532, -87.6614 41.6532, -87.6614 41.6677))"
67,"POLYGON ((-87.6425 41.6677, -87.6236 41.6677, -87.6236 41.6532, -87.6425 41.6532, -87.6425 41.6677))"
68,"POLYGON ((-87.6236 41.6677, -87.6048 41.6677, -87.6048 41.6532, -87.6236 41.6532, -87.6236 41.6677))"
69,"POLYGON ((-87.6048 41.6677, -87.5859 41.6677, -87.5859 41.6532, -87.6048 41.6532, -87.6048 41.6677))"
70,"POLYGON ((-87.5859 41.6677, -87.56699999999999 41.6677, -87.56699999999999 41.6532, -87.5859 41.6532, -87.5859 41.6677))"
71,"POLYGON ((-87.56699999999999 41.6677, -87.54819999999999 41.6677, -87.54819999999999 41.6532, -87.56699999999999 41.6532, -87.56699999999999 41.6677))"
72,"POLYGON ((-87.54819999999999 41.6677, -87.52930000000001 41.6677, -87.52930000000001 41.6532, -87.54819999999999 41.6532, -87.54819999999999 41.6677))"
73,"POLYGON ((-87.52930000000001 41.6677, -87.5104 41.6677, -87.5104 41.6532, -87.52930000000001 41.6532, -87.52930000000001 41.6677))"
74,"POLYGON ((-87.5104 41.6677, -87.49160000000001 41.6677, -87.49160000000001 41.6532, -87.5104 41.6532, -87.5104 41.6677))"
75,"POLYGON ((-87.49160000000001 41.6677, -87.4727 41.6677, -87.4727 41.6532, -87.49160000000001 41.6532, -87.49160000000001 41.6677))"
76,"POLYGON ((-87.9444 41.6822, -87.9255 41.6822, -87.9255 41.6677, -87.9444 41.6677, -87.9444 41.6822))"
77,"POLYGON ((-87.9255 41.6822, -87.9067 41.6822, -87.9067 41.6677, -87.9255 41.6677, -87.9255 41.6822))"
78,"POLYGON ((-87.9067 41.6822, -87.8878 41.6822, -87.8878 41.6677, -87.9067 41.6677, -87.9067 41.6822))"
79,"POLYGON ((-87.8878 41.6822, -87.8689 41.6822, -87.8689 41.6677, -87.8878 41.6677, -87.8878 41.6822))"
80,"POLYGON ((-87.8689 41.6822, -87.84999999999999 41.6822, -87.84999999999999 41.6677, -87.8689 41.6677, -87.8689 41.6822))"
81,"POLYGON ((-87.84999999999999 41.6822, -87.8312 41.6822, -87.8312 41.6677, -87.84999999999999 41.6677, -87.84999999999999 41.6822))"
82,"POLYGON ((-87.8312 41.6822, -87.81229999999999 41.6822, -87.81229999999999 41.6677, -87.8312 41.6677, -87.8312 41.6822))"
83,"POLYGON ((-87.81229999999999 41.6822, -87.79340000000001 41.6822, -87.79340000000001 41.6677, -87.81229999999999 41.6677, -87.81229999999999 41.6822))"
84,"POLYGON ((-87.79340000000001 41.6822, -87.77460000000001 41.6822, -87.77460000000001 41.6677, -87.79340000000001 41.6677, -87.79340000000001 41.6822))"
85,"POLYGON ((-87.77460000000001 41.6822, -87.7557 41.6822, -87.7557 41.6677, -87.77460000000001 41.6677, -87.77460000000001 41.6822))"
86,"POLYGON ((-87.7557 41.6822, -87.7368 41.6822, -87.7368 41.6677, -87.7557 41.6677, -87.7557 41.6822))"
87,"POLYGON ((-87.7368 41.6822, -87.718 41.6822, -87.718 41.6677, -87.7368 41.6677, -87.7368 41.6822))"
88,"POLYGON ((-87.718 41.6822, -87.6991 41.6822, -87.6991 41.6677, -87.718 41.6677, -87.718 41.6822))"
89,"POLYGON ((-87.6991 41.6822, -87.6802 41.6822, -87.6802 41.6677, -87.6991 41.6677, -87.6991 41.6822))"
90,"POLYGON ((-87.6802 41.6822, -87.6614 41.6822, -87.6614 41.6677, -87.6802 41.6677, -87.6802 41.6822))"
91,"POLYGON ((-87.6614 41.6822, -87.6425 41.6822, -87.6425 41.6677, -87.6614 41.6677, -87.6614 41.6822))"
92,"POLYGON ((-87.6425 41.6822, -87.6236 41.6822, -87.6236 41.6677, -87.6425 41.6677, -87.6425 41.6822))"
93,"POLYGON ((-87.6236 41.6822, -87.6048 41.6822, -87.6048 41.6677, -87.6236 41.6677, -87.6236 41.6822))"
94,"POLYGON ((-87.6048 41.6822, -87.5859 41.6822, -87.5859 41.6677, -87.6048 41.6677, -87.6048 41.6822))"
95,"POLYGON ((-87.5859 41.6822, -87.56699999999999 41.6822, -87.56699999999999 41.6677, -87.5859 41.6677, -87.5859 41.6822))"
96,"POLYGON ((-87.56699999999999 41.6822, -87.54819999999999 41.6822, -87.54819999999999 41.6677, -87.56699999999999 41.6677, -87.56699999999999 41.6822))"
97,"POLYGON ((-87.54819999999999 41.6822, -87.52930000000001 41.6822, -87.52930000000001 41.6677, -87.54819999999999 41.6677, -87.54819999999999 41.6822))"
98,"POLYGON ((-87.52930000000001 41.6822, -87.5104 41.6822, -87.5104 41.6677, -87.52930000000001 41.6677, -87.52930000000001 41.6822))"
99,"POLYGON ((-87.5104 41.6822, -87.49160000000001 41.6822, -87.49160000000001 41.6677, -87.5104 41.6677, -87.5104 41.6822))"
100,"POLYGON ((-87.49160000000001 41.6822, -87.4727 41.6822, -87.4727 41.6677, -87.49160000000001 41.6677, -87.49160000000001 41.6822))"
101,"POLYGON ((-87.9444 41.6967, -87.9255 41.6967, -87.9255 41.6822, -87.9444 41.6822, -87.9444 41.6967))"
102,"POLYGON ((-87.9255 41.6967, -87.9067 41.6967, -87.9067 41.6822, -87.9255 41.6822, -87.9255 41.6967))"
103,"POLYGON ((-87.9067 41.6967, -87.8878 41.6967, -87.8878 41.6822, -87.9067 41.6822, -87.9067 41.6967))"
104,"POLYGON ((-87.8878 41.6967, -87.8689 41.6967, -87.8689 41.6822, -87.8878 41.6822, -87.8878 41.6967))"
105,"POLYGON ((-87.8689 41.6967, -87.84999999999999 41.6967, -87.84999999999999 41.6822, -87.8689 41.6822, -87.8689 41.6967))"
106,"POLYGON ((-87.84999999999999 41.6967, -87.8312 41.6967, -87.8312 41.6822, -87.84999999999999 41.6822, -87.84999999999999 41.6967))"
107,"POLYGON ((-87.8312 41.6967, -87.81229999999999 41.6967, -87.81229999999999 41.6822, -87.8312 41.6822, -87.8312 41.6967))"
108,"POLYGON ((-87.81229999999999 41.6967, -87.79340000000001 41.6967, -87.79340000000001 41.6822, -87.81229999999999 41.6822, -87.81229999999999 41.6967))"
109,"POLYGON ((-87.79340000000001 41.6967, -87.77460000000001 41.6967, -87.77460000000001 41.6822, -87.79340000000001 41.6822, -87.79340000000001 41.6967))"
110,"POLYGON ((-87.77460000000001 41.6967, -87.7557 41.6967, -87.7557 41.6822, -87.77460000000001 41.6822, -87.77460000000001 41.6967))"
111,"POLYGON ((-87.7557 41.6967, -87.7368 41.6967, -87.7368 41.6822, -87.7557 41.6822, -87.7557 41.6967))"
112,"POLYGON ((-87.7368 41.6967, -87.718 41.6967, -87.718 41.6822, -87.7368 41.6822, -87.7368 41.6967))"
113,"POLYGON ((-87.718 41.6967, -87.6991 41.6967, -87.6991 41.6822, -87.718 41.6822, -87.718 41.6967))"
114,"POLYGON ((-87.6991 41.6967, -87.6802 41.6967, -87.6802 41.6822, -87.6991 41.6822, -87.6991 41.6967))"
115,"POLYGON ((-87.6802 41.6967, -87.6614 41.6967, -87.6614 41.6822, -87.6802 41.6822, -87.6802 41.6967))"
116,"POLYGON ((-87.6614 41.6967, -87.6425 41.6967, -87.6425 41.6822, -87.6614 41.6822, -87.6614 41.6967))"
117,"POLYGON ((-87.6425 41.6967, -87.6236 41.6967, -87.6236 41.6822, -87.6425 41.6822, -87.6425 41.6967))"
118,"POLYGON ((-87.6236 41.6967, -87.6048 41.6967, -87.6048 41.6822, -87.6236 41.6822, -87.6236 41.6967))"
119,"POLYGON ((-87.6048 41.6967, -87.5859 41.6967, -87.5859 41.6822, -87.6048 41.6822, -87.6048 41.6967))"
120,"POLYGON ((-87.5859 41.6967, -87.56699999999999 41.6967, -87.56699999999999 41.6822, -87.5859 41.6822, -87.5859 41.6967))"
121,"POLYGON ((-87.56699999999999 41.6967, -87.54819999999999 41.6967, -87.54819999999999 41.6822, -87.56699999999999 41.6822, -87.56699999999999 41.6967))"
122,"POLYGON ((-87.54819999999999 41.6967, -87.52930000000001 41.6967, -87.52930000000001 41.6822, -87.54819999999999 41.6822, -87.54819999999999 41.6967))"
123,"POLYGON ((-87.52930000000001 41.6967, -87.5104 41.6967, -87.5104 41.6822, -87.52930000000001 41.6822, -87.52930000000001 41.6967))"
124,"POLYGON ((-87.5104 41.6967, -87.49160000000001 41.6967, -87.49160000000001 41.6822, -87.5104 41.6822, -87.5104 41.6967))"
125,"POLYGON ((-87.49160000000001 41.6967, -87.4727 41.6967, -87.4727 41.6822, -87.49160000000001 41.6822, -87.49160000000001 41.6967))"
126,"POLYGON ((-87.9444 41.7112, -87.9255 41.7112, -87.9255 41.6967, -87.9444 41.6967, -87.9444 41.7112))"
127,"POLYGON ((-87.9255 41.7112, -87.9067 41.7112, -87.9067 41.6967, -87.9255 41.6967, -87.9255 41.7112))"
128,"POLYGON ((-87.9067 41.7112, -87.8878 41.7112, -87.8878 41.6967, -87.9067 41.6967, -87.9067 41.7112))"
129,"POLYGON ((-87.8878 41.7112, -87.8689 41.7112, -87.8689 41.6967, -87.8878 41.6967, -87.8878 41.7112))"
130,"POLYGON ((-87.8689 41.7112, -87.84999999999999 41.7112, -87.84999999999999 41.6967, -87.8689 41.6967, -87.8689 41.7112))"
131,"POLYGON ((-87.84999999999999 41.7112, -87.8312 41.7112, -87.8312 41.6967, -87.84999999999999 41.6967, -87.84999999999999 41.7112))"
132,"POLYGON ((-87.8312 41.7112, -87.81229999999999 41.7112, -87.81229999999999 41.6967, -87.8312 41.6967, -87.8312 41.7112))"
133,"POLYGON ((-87.81229999999999 41.7112, -87.79340000000001 41.7112, -87.79340000000001 41.6967, -87.81229999999999 41.6967, -87.81229999999999 41.7112))"
134,"POLYGON ((-87.79340000000001 41.7112, -87.77460000000001 41.7112, -87.77460000000001 41.6967, -87.79340000000001 41.6967, -87.79340000000001 41.7112))"
135,"POLYGON ((-87.77460000000001 41.7112, -87.7557 41.7112, -87.7557 41.6967, -87.77460000000001 41.6967, -87.77460000000001 41.7112))"
136,"POLYGON ((-87.7557 41.7112, -87.7368 41.7112, -87.7368 41.6967, -87.7557 41.6967, -87.7557 41.7112))"
137,"POLYGON ((-87.7368 41.7112, -87.718 41.7112, -87.718 41.6967, -87.7368 41.6967, -87.7368 41.7112))"
138,"POLYGON ((-87.718 41.7112, -87.6991 41.7112, -87.6991 41.6967, -87.718 41.6967, -87.718 41.7112))"
139,"POLYGON ((-87.6991 41.7112, -87.6802 41.7112, -87.6802 41.6967, -87.6991 41.6967, -87.6991 41.7112))"
140,"POLYGON ((-87.6802 41.7112, -87.6614 41.7112, -87.6614 41.6967, -87.6802 41.6967, -87.6802 41.7112))"
141,"POLYGON ((-87.6614 41.7112, -87.6425 41.7112, -87.6425 41.6967, -87.6614 41.6967, -87.6614 41.7112))"
142,"POLYGON ((-87.6425 41.7112, -87.6236 41.7112, -87.6236 41.6967, -87.6425 41.6967, -87.6425 41.7112))"
143,"POLYGON ((-87.6236 41.7112, -87.6048 41.7112, -87.6048 41.6967, -87.6236 41.6967, -87.6236 41.7112))"
144,"POLYGON ((-87.6048 41.7112, -87.5859 41.7112, -87.5859 41.6967, -87.6048 41.6967, -87.6048 41.7112))"
145,"POLYGON ((-87.5859 41.7112, -87.56699999999999 41.7112, -87.56699999999999 41.6967, -87.5859 41.6967, -87.5859 41.7112))"
146,"POLYGON ((-87.56699999999999 41.7112, -87.54819999999999 41.7112, -87.54819999999999 41.6967, -87.56699999999999 41.6967, -87.56699999999999 41.7112))"
147,"POLYGON ((-87.54819999999999 41.7112, -87.52930000000001 41.7112, -87.52930000000001 41.6967, -87.54819999999999 41.6967, -87.54819999999999 41.7112))"
148,"POLYGON ((-87.52930000000001 41.7112, -87.5104 41.7112, -87.5104 41.6967, -87.52930000000001 41.6967, -87.52930000000001 41.7112))"
149,"POLYGON ((-87.5104 41.7112, -87.49160000000001 41.7112, -87.49160000000001 41.6967, -87.5104 41.6967, -87.5104 41.7112))"
150,"POLYGON ((-87.49160000000001 41.7112, -87.4727 41.7112, -87.4727 41.6967, -87.49160000000001 41.6967, -87.49160000000001 41.7112))"
151,"POLYGON ((-87.9444 41.7257, -87.9255 41.7257, -87.9255 41.7112, -87.9444 41.7112, -87.9444 41.7257))"
152,"POLYGON ((-87.9255 41.7257, -87.9067 41.7257, -87.9067 41.7112, -87.9255 41.7112, -87.9255 41.7257))"
153,"POLYGON ((-87.9067 41.7257, -87.8878 41.7257, -87.8878 41.7112, -87.9067 41.7112, -87.9067 41.7257))"
154,"POLYGON ((-87.8878 41.7257, -87.8689 41.7257, -87.8689 41.7112, -87.8878 41.7112, -87.8878 41.7257))"
155,"POLYGON ((-87.8689 41.7257, -87.84999999999999 41.7257, -87.84999999999999 41.7112, -87.8689 41.7112, -87.8689 41.7257))"
156,"POLYGON ((-87.84999999999999 41.7257, -87.8312 41.7257, -87.8312 41.7112, -87.84999999999999 41.7112, -87.84999999999999 41.7257))"
157,"POLYGON ((-87.8312 41.7257, -87.81229999999999 41.7257, -87.81229999999999 41.7112, -87.8312 41.7112, -87.8312 41.7257))"
158,"POLYGON ((-87.81229999999999 41.7257, -87.79340000000001 41.7257, -87.79340000000001 41.7112, -87.81229999999999 41.7112, -87.81229999999999 41.7257))"
159,"POLYGON ((-87.79340000000001 41.7257, -87.77460000000001 41.7257, -87.77460000000001 41.7112, -87.79340000000001 41.7112, -87.79340000000001 41.7257))"
160,"POLYGON ((-87.77460000000001 41.7257, -87.7557 41.7257, -87.7557 41.7112, -87.77460000000001 41.7112, -87.77460000000001 41.7257))"
161,"POLYGON ((-87.7557 41.7257, -87.7368 41.7257, -87.7368 41.7112, -87.7557 41.7112, -87.7557 41.7257))"
162,"POLYGON ((-87.7368 41.7257, -87.718 41.7257, -87.718 41.7112, -87.7368 41.7112, -87.7368 41.7257))"
163,"POLYGON ((-87.718 41.7257, -87.6991 41.7257, -87.6991 41.7112, -87.718 41.7112, -87.718 41.7257))"
164,"POLYGON ((-87.6991 41.7257, -87.6802 41.7257, -87.6802 41.7112, -87.6991 41.7112, -87.6991 41.7257))"
165,"POLYGON ((-87.6802 41.7257, -87.6614 41.7257, -87.6614 41.7112, -87.6802 41.7112, -87.6802 41.7257))"
166,"POLYGON ((-87.6614 41.7257, -87.6425 41.7257, -87.6425 41.7112, -87.6614 41.7112, -87.6614 41.7257))"
167,"POLYGON ((-87.6425 41.7257, -87.6236 41.7257, -87.6236 41.7112, -87.6425 41.7112, -87.6425 41.7257))"
168,"POLYGON ((-87.6236 41.7257, -87.6048 41.7257, -87.6048 41.7112, -87.6236 41.7112, -87.6236 41.7257))"
169,"POLYGON ((-87.6048 41.7257, -87.5859 41.7257, -87.5859 41.7112, -87.6048 41.7112, -87.6048 41.7257))"
170,"POLYGON ((-87.5859 41.7257, -87.56699999999999 41.7257, -87.56699999999999 41.7112, -87.5859 41.7112, -87.5859 41.7257))"
171,"POLYGON ((-87.56699999999999 41.7257, -87.54819999999999 41.7257, -87.54819999999999 41.7112, -87.56699999999999 41.7112, -87.56699999999999 41.7257))"
172,"POLYGON ((-87.54819999999999 41.7257, -87.52930000000001 41.7257, -87.52930000000001 41.7112, -87.54819999999999 41.7112, -87.54819999999999 41.7257))"
173,"POLYGON ((-87.52930000000001 41.7257, -87.5104 41.7257, -87.5104 41.7112, -87.52930000000001 41.7112, -87.52930000000001 41.7257))"
174,"POLYGON ((-87.5104 41.7257, -87.49160000000001 41.7257, -87.49160000000001 41.7112, -87.5104 41.7112, -87.5104 41.7257))"
175,"POLYGON ((-87.49160000000001 41.7257, -87.4727 41.7257, -87.4727 41.7112, -87.49160000000001 41.7112, -87.49160000000001 41.7257))"
176,"POLYGON ((-87.9444 41.7401, -87.9255 41.7401, -87.9255 41.7257, -87.9444 41.7257, -87.9444 41.7401))"
177,"POLYGON ((-87.9255 41.7401, -87.9067 41.7401, -87.9067 41.7257, -87.9255 41.7257, -87.9255 41.7401))"
178,"POLYGON ((-87.9067 41.7401, -87.8878 41.7401, -87.8878 41.7257, -87.9067 41.7257, -87.9067 41.7401))"
179,"POLYGON ((-87.8878 41.7401, -87.8689 41.7401, -87.8689 41.7257, -87.8878 41.7257, -87.8878 41.7401))"
180,"POLYGON ((-87.8689 41.7401, -87.84999999999999 41.7401, -87.84999999999999 41.7257, -87.8689 41.7257, -87.8689 41.7401))"
181,"POLYGON ((-87.84999999999999 41.7401, -87.8312 41.7401, -87.8312 41.7257, -87.84999999999999 41.7257, -87.84999999999999 41.7401))"
182,"POLYGON ((-87.8312 41.7401, -87.81229999999999 41.7401, -87.81229999999999 41.7257, -87.8312 41.7257, -87.8312 41.7401))"
183,"POLYGON ((-87.81229999999999 41.7401, -87.79340000000001 41.7401, -87.79340000000001 41.7257, -87.81229999999999 41.7257, -87.81229999999999 41.7401))"
184,"POLYGON ((-87.79340000000001 41.7401, -87.77460000000001 41.7401, -87.77460000000001 41.7257, -87.79340000000001 41.7257, -87.79340000000001 41.7401))"
185,"POLYGON ((-87.77460000000001 41.7401, -87.7557 41.7401, -87.7557 41.7257, -87.77460000000001 41.7257, -87.77460000000001 41.7401))"
186,"POLYGON ((-87.7557 41.7401, -87.7368 41.7401, -87.7368 41.7257, -87.7557 41.7257, -87.7557 41.7401))"
